t,ax,ay,az,gx,gy,gz,mx,my,mz,label,gyro svd,gyro svd reversed,gyro svd reversed abs,gyro svd abs
915187.0,0.72,1.8,9.36,0.03,-0.01,-0.0,-38.68,25.33,-32.23,N,-0.01357270117595443,0.7341108299916566,0.7341108299916566,0.01357270117595443
915200.0,0.69,1.82,9.29,0.03,-0.01,-0.07,-40.32,24.58,-32.53,N,-0.0033413335120757266,0.022958608738735283,0.022958608738735283,0.0033413335120757266
915213.0,0.76,1.85,9.39,-0.0,-0.05,-0.02,-39.28,23.54,-32.83,N,-0.04401360026585104,-0.5583702922258339,0.5583702922258339,0.04401360026585104
915226.0,0.75,1.81,9.37,-0.01,-0.06,-0.0,-39.28,23.54,-32.83,N,-0.054818165590044265,-1.4453938453325799,1.4453938453325799,0.054818165590044265
915239.0,0.73,1.71,9.44,0.0,-0.06,-0.0,-39.13,24.13,-31.78,N,-0.05665704290299467,-2.211584852736074,2.211584852736074,0.05665704290299467
915251.0,0.69,1.66,9.49,-0.0,0.0,-0.0,-37.78,24.88,-31.78,N,0.0016641254960750565,-2.7054682391349116,2.7054682391349116,0.0016641254960750565
915265.0,0.8,1.76,9.45,0.02,-0.03,0.01,-37.63,25.48,-31.63,N,-0.032635837281343276,-3.173317901217831,3.173317901217831,0.032635837281343276
915278.0,0.76,1.77,9.44,0.05,0.0,0.09,-37.63,25.48,-31.63,N,-0.020684876636520983,-3.577989490700989,3.577989490700989,0.020684876636520983
915291.0,0.76,1.77,9.47,-0.0,-0.06,-0.01,-39.28,24.73,-30.13,N,-0.055195418951011994,-3.8041145993448127,3.8041145993448127,0.055195418951011994
915304.0,0.79,1.78,9.5,-0.03,-0.02,0.03,-39.28,25.18,-31.63,N,-0.016644503887378335,-4.007647372064806,4.007647372064806,0.016644503887378335
915317.0,0.79,1.72,9.48,-0.03,-0.05,0.01,-39.28,25.18,-31.63,N,-0.042881840182947856,-4.138691885066988,4.138691885066988,0.042881840182947856
915330.0,0.87,1.82,9.48,-0.02,-0.04,0.0,-39.72,25.18,-31.63,N,-0.033538898810737294,-4.179984738972967,4.179984738972967,0.033538898810737294
915343.0,0.87,1.84,9.54,0.0,-0.03,-0.02,-38.83,25.18,-31.18,N,-0.024573210799494465,-4.0834507682852745,4.0834507682852745,0.024573210799494465
915356.0,0.83,1.91,9.52,0.07,-0.07,-0.01,-38.68,24.88,-31.48,N,-0.07778775487484309,-3.9061846023363036,3.9061846023363036,0.07778775487484309
915369.0,0.8,1.91,9.42,-0.01,-0.07,-0.03,-38.68,24.88,-31.48,N,-0.06015348846727455,-3.665903553832754,3.665903553832754,0.06015348846727455
915382.0,0.79,1.97,9.39,-0.04,-0.03,-0.01,-39.87,26.53,-31.78,N,-0.018679325499675537,-3.4215528621046105,3.4215528621046105,0.018679325499675537
915395.0,0.78,1.89,9.25,-0.06,-0.02,-0.05,-39.28,24.43,-31.63,N,0.0005651196673342332,-3.08009500202846,3.08009500202846,0.0005651196673342332
915408.0,0.75,1.91,9.28,0.0,-0.05,-0.04,-39.28,24.43,-31.63,N,-0.0410903523618857,-2.6160716493789002,2.6160716493789002,0.0410903523618857
915421.0,0.76,1.94,9.13,0.02,-0.12,0.0,-38.68,23.83,-31.48,N,-0.11865596592796519,-2.2120123981420137,2.2120123981420137,0.11865596592796519
915434.0,0.8,1.92,8.95,-0.0,-0.09,-0.04,-38.23,25.63,-31.03,N,-0.07997113129459885,-1.7543514793583057,1.7543514793583057,0.07997113129459885
915447.0,0.72,2.04,8.93,-0.03,-0.13,-0.07,-38.83,24.73,-31.63,N,-0.10895040643251279,-1.35713656444252,1.35713656444252,0.10895040643251279
915459.0,0.71,2.02,8.84,-0.05,-0.13,-0.08,-38.23,25.63,-31.03,D,-0.10381102785462931,-0.9654055272114233,0.9654055272114233,0.10381102785462931
915473.0,0.64,1.91,8.66,-0.02,-0.24,-0.09,-39.13,24.88,-31.48,D,-0.214788177906459,-0.6928300670673011,0.6928300670673011,0.214788177906459
